"","sex","tissue","treatment","gene","samples","counts"
"1","female","hypothalamus","m.inc.d8","PRL","blk.y.l.s109_female_hypothalamus_m.inc.d8",10.4206889501852
"2","female","hypothalamus","extend","PRL","blk19.x_female_hypothalamus_extend",10.4525035884704
"3","female","hypothalamus","m.inc.d8","PRL","blu119.w84.x_female_hypothalamus_m.inc.d8",10.6311255785632
"4","female","hypothalamus","extend","PRL","blu44.y102_female_hypothalamus_extend",10.6930852718199
"5","female","hypothalamus","m.inc.d8","PRL","blu80.r97_female_hypothalamus_m.inc.d8",10.5559434909792
"6","female","hypothalamus","extend","PRL","g17.w108.x_female_hypothalamus_extend",11.0026283549802
"7","female","hypothalamus","extend","PRL","g22.blu118_female_hypothalamus_extend",10.3428560225315
"8","female","hypothalamus","m.inc.d8","PRL","p.g.blk.s040_female_hypothalamus_m.inc.d8",10.3772071895532
"9","female","hypothalamus","m.inc.d8","PRL","pk.s055.d.l_female_hypothalamus_m.inc.d8",10.4532710022191
"10","female","hypothalamus","extend","PRL","r.s131.o.d_female_hypothalamus_extend",11.1278236308887
"11","female","hypothalamus","m.inc.d8","PRL","s002.x_female_hypothalamus_m.inc.d8",10.7329400885817
"12","female","hypothalamus","extend","PRL","s089.blk.pk.pu_female_hypothalamus_extend",11.0786420936608
"13","female","hypothalamus","m.inc.d8","PRL","s091.blk.r.g_female_hypothalamus_m.inc.d8",11.0649952442902
"14","female","hypothalamus","extend","PRL","s137.g.blk.y_female_hypothalamus_extend",10.6448028349174
"15","female","hypothalamus","extend","PRL","s186.l.o.pk_female_hypothalamus_extend",10.4299954029195
"16","female","hypothalamus","m.inc.d8","PRL","x.g26_female_hypothalamus_m.inc.d8",10.494940871196
"17","female","hypothalamus","m.inc.d8","PRL","x.s188_female_hypothalamus_m.inc.d8",10.3002677499973
"18","female","hypothalamus","m.inc.d8","PRL","x.y5_female_hypothalamus_m.inc.d8",10.5592430802444
"19","female","hypothalamus","extend","PRL","x.y64_female_hypothalamus_extend",10.2862558835012
"20","male","hypothalamus","m.inc.d8","PRL","g.s111.r.blk_male_hypothalamus_m.inc.d8",10.410533625158
"21","male","hypothalamus","m.inc.d8","PRL","g.s179.o.pk_male_hypothalamus_m.inc.d8",10.5973230117845
"22","male","hypothalamus","extend","PRL","g.s351.pk.w_male_hypothalamus_extend",11.1670224041063
"23","male","hypothalamus","m.inc.d8","PRL","g137.r24.w5_male_hypothalamus_m.inc.d8",10.6841461060084
"24","male","hypothalamus","extend","PRL","g3.g119.w20_male_hypothalamus_extend",11.3986153918352
"25","male","hypothalamus","extend","PRL","g8.y197_male_hypothalamus_extend",10.9778098030325
"26","male","hypothalamus","extend","PRL","l.s.o.blk_male_hypothalamus_extend",11.3119607269492
"27","male","hypothalamus","m.inc.d8","PRL","pu.blk.s102.y_male_hypothalamus_m.inc.d8",10.5812070785426
"28","male","hypothalamus","extend","PRL","r.s057.g.pk_male_hypothalamus_extend",10.4618271026932
"29","male","hypothalamus","m.inc.d8","PRL","r.s058.d.l_male_hypothalamus_m.inc.d8",10.5910159877873
"30","male","hypothalamus","extend","PRL","r.s086.l.blk_male_hypothalamus_extend",10.6655460671392
"31","male","hypothalamus","extend","PRL","r.s172.l.y_male_hypothalamus_extend",10.7788570602507
"32","male","hypothalamus","m.inc.d8","PRL","r4.x_male_hypothalamus_m.inc.d8",10.7070231655527
"33","male","hypothalamus","m.inc.d8","PRL","s044.blk.d.r_male_hypothalamus_m.inc.d8",10.880003948745
"34","male","hypothalamus","m.inc.d8","PRL","s067.o.l.y_male_hypothalamus_m.inc.d8",11.1980314975183
"35","male","hypothalamus","extend","PRL","x.blu69_male_hypothalamus_extend",10.4461099366339
"36","male","hypothalamus","extend","PRL","x.blu73_male_hypothalamus_extend",10.6340472645531
"37","male","hypothalamus","m.inc.d8","PRL","x.y51_male_hypothalamus_m.inc.d8",10.5443097701025
"38","male","hypothalamus","m.inc.d8","PRL","y55.x_male_hypothalamus_m.inc.d8",10.721753026794
"39","female","pituitary","m.inc.d8","PRL","blk.y.l.s109_female_pituitary_m.inc.d8",18.141414521871
"40","female","pituitary","extend","PRL","blk19.x_female_pituitary_extend",21.2357687860506
"41","female","pituitary","m.inc.d8","PRL","blu119.w84.x_female_pituitary_m.inc.d8",17.8788145551619
"42","female","pituitary","extend","PRL","blu44.y102_female_pituitary_extend",19.9688590824333
"43","female","pituitary","m.inc.d8","PRL","blu80.r97_female_pituitary_m.inc.d8",18.578433200338
"44","female","pituitary","extend","PRL","g17.w108.x_female_pituitary_extend",20.8802469468083
"45","female","pituitary","extend","PRL","g22.blu118_female_pituitary_extend",20.9441313958248
"46","female","pituitary","m.inc.d8","PRL","p.g.blk.s040_female_pituitary_m.inc.d8",18.552396036992
"47","female","pituitary","m.inc.d8","PRL","pk.s055.d.l_female_pituitary_m.inc.d8",18.4424423871589
"48","female","pituitary","extend","PRL","r.s131.o.d_female_pituitary_extend",18.9103947853451
"49","female","pituitary","m.inc.d8","PRL","s002.x_female_pituitary_m.inc.d8",18.1695931811219
"50","female","pituitary","extend","PRL","s089.blk.pk.pu_female_pituitary_extend",20.4141177680444
"51","female","pituitary","m.inc.d8","PRL","s091.blk.r.g_female_pituitary_m.inc.d8",18.1620334375025
"52","female","pituitary","extend","PRL","s137.g.blk.y_female_pituitary_extend",20.2347386091673
"53","female","pituitary","extend","PRL","s186.l.o.pk_female_pituitary_extend",20.3302533185052
"54","female","pituitary","m.inc.d8","PRL","x.g26_female_pituitary_m.inc.d8",18.0335551702424
"55","female","pituitary","m.inc.d8","PRL","x.s188_female_pituitary_m.inc.d8",18.0073391888746
"56","female","pituitary","m.inc.d8","PRL","x.y5_female_pituitary_m.inc.d8",17.5298063661581
"57","female","pituitary","extend","PRL","x.y64_female_pituitary_extend",20.2382747495197
"58","male","pituitary","m.inc.d8","PRL","g.s111.r.blk_male_pituitary_m.inc.d8",16.9264272563542
"59","male","pituitary","m.inc.d8","PRL","g.s179.o.pk_male_pituitary_m.inc.d8",10.3689397129012
"60","male","pituitary","extend","PRL","g.s351.pk.w_male_pituitary_extend",20.4879656165639
"61","male","pituitary","m.inc.d8","PRL","g137.r24.w5_male_pituitary_m.inc.d8",17.8972442279235
"62","male","pituitary","extend","PRL","g3.g119.w20_male_pituitary_extend",20.5370064978872
"63","male","pituitary","extend","PRL","g8.y197_male_pituitary_extend",20.6181878605538
"64","male","pituitary","extend","PRL","l.s.o.blk_male_pituitary_extend",20.6814373769994
"65","male","pituitary","m.inc.d8","PRL","pu.blk.s102.y_male_pituitary_m.inc.d8",17.9543453683329
"66","male","pituitary","extend","PRL","r.s057.g.pk_male_pituitary_extend",19.0702515235376
"67","male","pituitary","m.inc.d8","PRL","r.s058.d.l_male_pituitary_m.inc.d8",16.8382725829118
"68","male","pituitary","extend","PRL","r.s086.l.blk_male_pituitary_extend",20.4774696026483
"69","male","pituitary","extend","PRL","r.s172.l.y_male_pituitary_extend",20.2682007945606
"70","male","pituitary","m.inc.d8","PRL","r4.x_male_pituitary_m.inc.d8",18.1026199060707
"71","male","pituitary","m.inc.d8","PRL","s044.blk.d.r_male_pituitary_m.inc.d8",17.8565645023425
"72","male","pituitary","m.inc.d8","PRL","s067.o.l.y_male_pituitary_m.inc.d8",17.9861294201478
"73","male","pituitary","extend","PRL","x.blu69_male_pituitary_extend",20.5055124041872
"74","male","pituitary","extend","PRL","x.blu73_male_pituitary_extend",20.0671721489111
"75","male","pituitary","m.inc.d8","PRL","x.y51_male_pituitary_m.inc.d8",17.6173840026803
"76","male","pituitary","m.inc.d8","PRL","y55.x_male_pituitary_m.inc.d8",17.9167574724184
"77","female","gonad","m.inc.d8","PRL","blk.y.l.s109_female_gonad_m.inc.d8",10.1214753754904
"78","female","gonad","extend","PRL","blk19.x_female_gonad_extend",10.8923831817271
"79","female","gonad","m.inc.d8","PRL","blu119.w84.x_female_gonad_m.inc.d8",10.0649925445459
"80","female","gonad","extend","PRL","blu44.y102_female_gonad_extend",11.1415811329719
"81","female","gonad","m.inc.d8","PRL","blu80.r97_female_gonad_m.inc.d8",9.45526271492037
"82","female","gonad","extend","PRL","g17.w108.x_female_gonad_extend",11.0585818863744
"83","female","gonad","extend","PRL","g22.blu118_female_gonad_extend",10.6822667888935
"84","female","gonad","m.inc.d8","PRL","p.g.blk.s040_female_gonad_m.inc.d8",10.4900190507253
"85","female","gonad","m.inc.d8","PRL","pk.s055.d.l_female_gonad_m.inc.d8",9.9785202375644
"86","female","gonad","extend","PRL","r.s131.o.d_female_gonad_extend",10.3124727014597
"87","female","gonad","m.inc.d8","PRL","s002.x_female_gonad_m.inc.d8",10.2941379780758
"88","female","gonad","extend","PRL","s089.blk.pk.pu_female_gonad_extend",10.1442858608129
"89","female","gonad","m.inc.d8","PRL","s091.blk.r.g_female_gonad_m.inc.d8",10.0798547330413
"90","female","gonad","extend","PRL","s137.g.blk.y_female_gonad_extend",10.6545851536451
"91","female","gonad","extend","PRL","s186.l.o.pk_female_gonad_extend",10.8189635029641
"92","female","gonad","m.inc.d8","PRL","x.g26_female_gonad_m.inc.d8",10.5214637925712
"93","female","gonad","m.inc.d8","PRL","x.s188_female_gonad_m.inc.d8",9.97572872184512
"94","female","gonad","m.inc.d8","PRL","x.y5_female_gonad_m.inc.d8",11.2070779122399
"95","female","gonad","extend","PRL","x.y64_female_gonad_extend",10.0405393224865
"96","male","gonad","m.inc.d8","PRL","g.s111.r.blk_male_gonad_m.inc.d8",10.7841243638243
"97","male","gonad","m.inc.d8","PRL","g.s179.o.pk_male_gonad_m.inc.d8",9.86122769027762
"98","male","gonad","extend","PRL","g.s351.pk.w_male_gonad_extend",10.7250304122409
"99","male","gonad","m.inc.d8","PRL","g137.r24.w5_male_gonad_m.inc.d8",10.187031661393
"100","male","gonad","extend","PRL","g3.g119.w20_male_gonad_extend",10.8257354051015
"101","male","gonad","extend","PRL","g8.y197_male_gonad_extend",10.8708954058776
"102","male","gonad","extend","PRL","l.s.o.blk_male_gonad_extend",10.5713366145293
"103","male","gonad","m.inc.d8","PRL","pu.blk.s102.y_male_gonad_m.inc.d8",9.95920502515781
"104","male","gonad","extend","PRL","r.s057.g.pk_male_gonad_extend",10.5219002333015
"105","male","gonad","m.inc.d8","PRL","r.s058.d.l_male_gonad_m.inc.d8",10.3771673482245
"106","male","gonad","extend","PRL","r.s086.l.blk_male_gonad_extend",10.8748013241008
"107","male","gonad","extend","PRL","r.s172.l.y_male_gonad_extend",10.720137968615
"108","male","gonad","m.inc.d8","PRL","r4.x_male_gonad_m.inc.d8",11.9569197136895
"109","male","gonad","m.inc.d8","PRL","s044.blk.d.r_male_gonad_m.inc.d8",10.3594513674309
"110","male","gonad","m.inc.d8","PRL","s067.o.l.y_male_gonad_m.inc.d8",11.3961793268976
"111","male","gonad","extend","PRL","x.blu69_male_gonad_extend",10.6556136087701
"112","male","gonad","extend","PRL","x.blu73_male_gonad_extend",9.86339537901583
"113","male","gonad","m.inc.d8","PRL","x.y51_male_gonad_m.inc.d8",10.6119126385113
"114","male","gonad","m.inc.d8","PRL","y55.x_male_gonad_m.inc.d8",10.1339964139871
