gene,bldg_lay,bldg_inc.d3,bldg_inc.d9,bldg_inc.d17,bldg_hatch,bldg_n5,bldg_n9
AR,NA,NA,NA,FP(-),FP(-),NA,NA
AVPR2,NA,NA,NA,NA,FP(-),NA,NA
CGA,FP(-),NA,NA,FP(-),FP(-),FP(-),NA
CRHR1,NA,NA,NA,FG(+),NA,NA,NA
DIO2,NA,FG(-),FG(-),FG(-),FG(-),NA,NA
DIO3,FP(-),NA,NA,NA,FP(-),NA,NA
ESR2,NA,NA,NA,FG(+),NA,NA,NA
FSHR,NA,NA,NA,FG(+),NA,NA,NA
GABRQ,NA,NA,NA,NA,NA,NA,NA
GAL,FP(-),NA,NA,NA,FP(-),NA,NA
GNRHR,FP(-),NA,NA,FP(-),FP(-),FP(-),NA
JAK2,NA,NA,NA,NA,NA,NA,NA
LHCGR,NA,NA,NA,NA,NA,NA,NA
MC4R,NA,NA,NA,FP(-),NA,NA,NA
NPVF,NA,NA,NA,FP(+),NA,NA,NA
NPY,NA,FG(-),NA,FG(-); FP(-),FG(-),FG(-),FG(-)
OXT,NA,NA,NA,NA,NA,NA,NA
PRL,NA,NA,NA,FP(+); MP(+),FP(+); MP(+),FP(+); MP(+),FP(+); MP(+)
PRLH,FP(-),NA,NA,NA,NA,NA,NA
SERPINA4,NA,NA,NA,NA,NA,NA,NA
VIP,NA,NA,NA,NA,NA,NA,NA
VIPR1,NA,NA,NA,FP(+); MP(+),FP(+); MP(+),FP(+); MP(+),FP(+); MP(+)
